,No,UID,code,content,crawl state,date,source,time,title,title_detail,url
0,15,E9ETG0P8002580S6,000002,"
                        （原标题：万科A：2月合同销售金额431.9亿元）
                    ",full,2019-03-04,证券时报网,2019-03-04 19:50:01,万科A：2月合同销售金额431.9亿元,万科A：2月合同销售金额431.9亿元,http://money.163.com/19/0304/19/E9ETG0P8002580S6.html
1,19,F80BAHMJ00259DLP,000002,"
                        （原标题：万科：在武汉服务61个住宅社区等，覆盖超过30万居民）
                    
万科
举行2019年度业绩会介绍，疫情之下，万科全力保障
住宅
社区、写字楼、商场、长租公寓等场所的安全运转，万科
物业
守护超过2663个住宅项目319万户家庭，助力超过10000家企业复工复产，提前启动2万人招聘计划助力国家“稳就业”目标。在
武汉
前线，万科共服务61个住宅社区、5家商场、4个物流园区、2间酒店、4个租赁公寓，覆盖超过12万户家庭，超过30万居民。",full,2020-03-18,第一财经,2020-03-18 10:18:10,万科：在武汉服务61个住宅社区等 覆盖超30万居民,万科：在武汉服务61个住宅社区等 覆盖超30万居民,https://money.163.com/20/0318/10/F80BAHMJ00259DLP.html
2,24,F7V192PL002580S6,000002,"
                        （原标题：万科郁亮：疫情是大考 活下去已成特别真实的存在）
                    
证券时报e公司讯，
万科
披露年报后在线上召开业绩推介会，董事会主席
郁亮
在回答e公司记者提问时表示，疫情对各个领域、每个企业都是一次大考，大家都是考生，无法置身事外，也无法独善其身。万科2018年秋季
例会
的主题词是“活下去”，当时是居安思危，到今天，活下去成了特别真实的存在。万科将一如既往地继续努力，时刻保持清醒与警惕，坚持在变化中不变的东西，寻求危机中可能的机会，让自己健康的活下去，活得好，活得久。",full,2020-03-17,证券时报网,2020-03-17 21:52:01,万科郁亮：疫情是大考 活下去已成特别真实的存在,万科郁亮：疫情是大考 活下去已成特别真实的存在,https://money.163.com/20/0317/22/F7V192PL002580S6.html
3,20,F80AS0OO002580S6,000002,"
                        （原标题：万科董事会主席郁亮：疫情不改房地产行业趋势）
                    
证券时报e公司讯，
万科
2019年度业绩推介会今日上午通过网络视频直播召开，证券时报·e公司全程视频直播。万科董事会主席
郁亮
表示，疫情不改行业趋势。白银时代特征已经非常明显地体现出来了，从增量到存量、从平衡到极化、从简单到复杂、从单一到全面，这四个方面的变化是从黄金时代到白银时代的主要特征。",full,2020-03-18,证券时报网,2020-03-18 10:07:04,万科董事会主席郁亮：疫情不改房地产行业趋势,万科董事会主席郁亮：疫情不改房地产行业趋势,https://money.163.com/20/0318/10/F80AS0OO002580S6.html
4,11,FA8V8KA5002580S6,000002,"
                        （原标题：“围标”事件发酵，华润置地副总裁陈刚被带走配合调查）
                    
上海市虹口区嘉兴路街道HK271-01地块（下称“虹口地块”）“围标”事件持续发酵。
第一财经记者从多方信源处获悉，华润置地（01109.HK）副总裁兼华东大区总经理
陈刚
被带走调查。
“目前，陈总在配合调查，事件情况还在核实了解中，并没有定性。”有华润置地内部人士向第一财经记者表示。
陈刚此番被调查，仍与上海虹口地块“围标”事件相关。此前的4月10日，消息显示中海上海公司总经理崔帅被上海市公安局经侦队采取刑事强制措施，而
万科
(000002.SZ)和华润置地相关拿地人士也在接受有关部门调查。（详见第一财经4月11日报道《中海上海公司总经理接受调查，或涉嫌与万科、
华润
围标拿地》）
在任职华润置地副总裁、华东大区总经理之前，陈刚历任东北大区长春城市总、东北大区总经理，在华润置地内部有相当大的影响力。
“华润置地党委副书记、总裁、华东大区董事长李欣一直比较欣赏陈刚，两人都曾经履职过东北大区，而后转战华东大区，属于做事雷厉风行的实干型人物。”华润置地内部人士说，二人业务区域拓展轨迹及做事风格上的一致也让两人的关系更亲密。
被带走调查至今仍未返回公司的还有的华润置地上海执行总经理宋悠优。
以上海为中心的华东大区是华润置地的三大业务核心区。
截至2019年末，华润置地战略深耕的三大区域，长三角、大湾区及京津冀的土储面积占比分别为13%，10%和9%。同期，长三角的核心城市上海以5%的结算收益占比，位列华润置地开发物业结算收益贡献前10城市之列。长三角区域销售额近年贡献华润置地总业绩的三成左右。
作为房地产行业内的标杆房企之一，华润置地2020年业绩受到疫情的直接冲击。
3月26日，李欣在电话业绩会上表示，房地产全行业的毛利率都呈下降趋势，2020年华润置地房产业务的毛利率还会进一步下降至30%-35%。同时，自持的购物中心收入今年料与2019年持平或小幅上涨，酒店业务利润大致减少三成。
目前，在公司内部有一定话语权的陈刚被带走调查并未影响到华润置地的日常经营情况。
但有华润置地人士向第一财经记者表示，自“围标”事件曝光以来，华润置地内部的士气受到比较大的影响。",full,2020-04-15,第一财经网,2020-04-15 15:08:34,"""围标""事件发酵 华润置地副总裁陈刚被带走配合调查","""围标""事件发酵 华润置地副总裁陈刚被带走配合调查",https://money.163.com/20/0415/15/FA8V8KA5002580S6.html
5,4,F27IKIJE00258105,000002,"
                        （原标题：【深度】 沉寂三年后，姚振华重回A股“扫货”）
                    
图片来源：海洛创意
过去的2019年，姚振华和他的
宝能
集团试图通过“脱虚务实”，来撕掉资本市场 “野蛮人”的标签。
从
万科
方面获利而出、连续减
持股
份至5%以下，地产板块不断的进行资产腾挪，年底又在汽车行业继续大笔投入，看起来宝能做实业的决心坚定。
但这些“花钱”的实业版图，宝能做的并不顺利，短期依然看不到成功的可能，于是对南宁百货的
股权
争夺，让外界看到了曾经的“资本大鳄”姚振华又回来了。
押宝造车
2019年的最后一天，宝能花16.3亿元给自己买了一份新年礼物——长安标致雪铁龙汽车有限公司（以下简称“长安PSA”） 50%股权。这50%股权的原持有者为长安汽车，现在由宝能汽车旗下全资子公司前海锐致持有。
天眼查信息显示，长安PSA于2011年11月成立，注册资金为76亿人民币，位于深圳龙华区，长安汽车和法国标致雪铁龙集团（以下简称“PSA集团”）各占股本50%。
早在去年11月底，PSA集团就对外宣称要出让长安PSA50%股权，当时传出的“接盘者”正是宝能。
宝能此次接手的这一品牌和资产，与当初的观致相似，并不是一个畅销车型，且还面临着严峻的亏损。
长安PSA主要生产的汽车品牌是DS车型，最早预期是2014年在中国市场完成10万辆的目标销量。但DS系列车型从量产至今一直表现不佳。
2014年至2018年，DS系列车型在国内的销量分别是2.3万辆、2.46万辆、1.61万辆、0.61万辆、0.39万辆，下滑趋势明显。2019年前10月，在国内销量仅为1163台，同比下滑95.7%。
据悉，自2019年1月起DS全系产品已实质性停产。长安汽车公告显示，2018年长安PSA净亏损8.74亿元，2019年1-9月净亏损22.32亿元。
截至2019年9月30日，长安PSA净资产为-5.19亿元，已经资不抵债，无法偿还到期的债务。
姚振华为何要接下这一“烫手山芋”备受关注。宝能汽车相关负责人表示，这是宝能汽车、长安汽车和PSA集团三方充分市场化行为。宝能汽车将与长安汽车和PSA集团长期合作。后续，宝能汽车将加大对深圳制造研发基地的研发、技术、资金、人才和资源投入。
姚振华这几年有一个很大的“汽车梦”，他提出要用10-15年时间将宝能汽车打造成为具有强大竞争力和国际影响力的汽车集团。
2017年宝能集团正式开始跨界造车，以10亿元注册成立了宝能汽车有限公司。同年底，宝能集团斥资65亿元收购观致汽车51%股份，获得汽车生产资质。2019年初，宝能集团持有观致汽车的股份比例升至63%。
然而宝能集团股权比例的逐渐攀升并未给观致汽车带来实质性利好。
按照姚振华的承诺，从2018年开始宝能集团计划连续五年每年向观致汽车投资100亿元用于新车研发，计划到2022年观致汽车将推出多达26款新车型。但至今未见有实际性动作。
除新车研发搁浅外，观致汽车的销量也不乐观。
2018年，观致汽车全年实现6.2万辆销量，同比增长300%，但大部分销量都是以低价方式卖给了宝能旗下的“联动云”租车，这导致部分观致经销商联名发起致厂家函，直指厂家低价直销严重扰乱市场价格，并提出“退网补偿”要求。
2019年前11个月，观致的零售销量仅为3.6万辆，同比下降40%。宝能集团的“托底”动作似乎难以持续。
地产后花园
尽管“造车”还没有取得像样的成绩，但宝能集团在“造工厂”上却已收获不小。
在入股观致不到两个月的时间内，宝能集团就先后在广州、杭州、昆明三地布局了造车基地，占地面积分别为423亩、3000亩、6300亩。2018年初在西安也布局了新能源汽车生产基地。
近期收购的长安PSA也拥有整车、研发、物流三块土地，位于深圳，且均为工业用地，总共约137万平方米。
其中，整车土地现已建成建筑面积55.81万平米，剩余计容积率建筑面积73.68万平米；研发中心土地现已建成建筑面积4.7万平米，剩余计容积率建筑面积20.8万平米；物流土地面积70万平方米，未进行建设。
汽车行业有着较高的行业门槛，外界对于宝能是否借着造车的名义间接“圈地”一直持有怀疑。
据贵阳市公共资源交易中心消息，2019年10月25日，宝能汽车的全资子公司贵州宝能汽车有限公司斥资9.32亿元拿下双龙8.15万平米住宅用地。
事实上，姚振华对地产业务一直留有执念。宝能集团主要有两个地产平台，一个是姚振华胞弟姚建辉掌控的宝能地产，另一个是主打产业地产的宝能城发。
宝能地产于2002年7月成立，多年来发展并不理想。公开数据显示，一直到2016年，宝能地产的销售额也仅有139亿元。据悉，由于宝能地产在管理、项目开发节奏等方面问题频发，其不少项目都陷入停工、烂尾、退地风波。
2017年11月，保利前副总经理余英加入宝能，并被委以重任，担任宝能集团高级副总裁、宝能地产总裁、宝能城发集团总裁。宝能城发于2016年底成立，被业界认为是宝能在地产业务上的重新起航。
为做大地产板块，2017年以来，姚振华前往全国各个城市进行考察，并签订了一系列的产业地产投资计划，包括广西玉林的生态知识城、武汉的科技孵化园、昆明的旅游度假小镇、贵州的综合产业新城等。
然而不到一年时间，余英就从宝能离职。这在一位业内人士看来是意料之中的事情，他指出，宝能作为一家私营企业，基本上是一言堂，真正有为的职业经理人要容身并不易。
“我认识一位宝能城发的财务高管，入职宝能城发不到一个月就离职了。据说宝能城发提出2018年要达成千亿目标，实际业绩非常惨淡，很多人觉得公司发展的比较困难。”一位深圳猎头说道。
姚振华此后决定将宝能地产和宝能城发合并。天眼查信息显示，2018年11月2日，宝能城发的股东发生变更，从深圳市宝能投资集团有限公司持有99%股权、深圳宝源物流有限公司持有1%股权变更为宝能地产100%持股。
据界面新闻了解，余英离职后，宝能城发一直由宝能集团副总裁程细宝负责，其是一位年轻的主管财务的副总裁，在管理方面事无巨细，颇受姚振华信任。
目前宝能地产和宝能城发的整合似乎还停留在股权层面，外界无法洞悉更多业务上面的变化。
据克而瑞数据显示，2018年宝能集团销售金额仅为66.6亿元，排名全国房企第179位，2019年微涨至84.8亿元，排在第167位。
值得注意的是，宝能地产和宝能城发并非宝能系唯一的地产平台。姚建辉实际控制的香港上市平台宝新金融（原“中国金洋”）及宝新置地（原“新体育”），也在不断地被注入宝能系地产项目。
2019年1月，宝新金融通过要约收购的方式成为宝新置地的控股股东。宝新金融已将物业投资作为业务发展的重要方向。
原本以体育文化和物业发展投资为重点的宝新置地在2019年中期业绩报告中提出，经过2017年和2018年的业务调整后，公司已成为以综合物业开发及服务为主的地产公司，截至2019年6月30日，拥有9个地产开发项目，总建面为293万平方米，总投资额约250亿元。
据界面新闻不完全统计，宝能系累计已将超过40亿元的资产注入到上述两家香港上市平台。
频繁的资本腾挪背后或是宝能地产业务的上市计划。据《财经》报道，宝能地产早在2017年就启动了上市计划，不排除香港上市的选项。
重返资本战场
宝能集团官网最醒目的“宝能家”里只两个业务，一个是观致汽车，一个是宝能城发，这在一定程度上凸显出了姚振华对汽车以及地产业务的野心。
然而无论是“汽车梦”还是“地产梦”，都需要足够的耐心以及大量资金投入。
将万科股权逐步套现，或成为“输血”姚振华实业版图的通道之一。自“宝万之争”结束后，宝能系开始陆续减持所持有的25.4%万科股权，经过近20个月连续减持，“宝能系” 旗下钜盛华和前海人寿持股总量在2019年12月19日降至5.65亿股，占万科总股本的4.9999998%。
根据相关规则，持股比例低于5%后，宝能系的后续减持动作将无需再行披露。
目前宝能尚未减持的股份，按万科A于2020年1月3日的收市价32.05元/股计算，对应市值约为181.08亿元。不计分红和资金成本，宝能的盈利已超过300亿元。
随着“宝万之争”进入历史，姚振华又瞄准了新的“猎物”。
去年12月4日，南宁百货公告称，公司第二大股东南宁富天（宝能集团控股公司）增持股份，实际持股达18.85%，超过原第一大股东南宁沛宁持有的18.26%。
宝能系在2015年就进入了南宁百货。当年，南宁百货的股价在6月达到上市以来的巅峰18.95元/股后开始持续下行，并于9月底跌至谷底，最低价为5.24元/股。宝能集团旗下的前海人寿开始连续举牌，持股达到14.65%，位列当年第二大股东。
蛰伏4年之久的前海人寿在去年四月将股票悉数转给南宁富天。
股权之争使得南宁百货股价迅速攀升，从2019年12月4日至12月18日，南宁百货股票已出现10个涨停，股价从12月4日的收盘价4.41元/股，上涨至12月18日收盘价10.53元/股，涨幅达138.7%。
南宁百货连续4年扣非净利润为负值，2015-2016年以及2018年均亏损超3000万元。南宁百货业绩平平并非一个优质的财务投资标的，有市场猜测认为，姚振华看中的是南宁百货的土地和房地产资源。
据悉，南宁百货在自持的商业物业面积超过10万平方米，自有仓库接近1万平方米。
宝能系过往在资本市场上的积累，已前后成为过上百家
A股
上市公司的前十大股东。
除南宁百货外，宝能系目前仍然在华侨城、中炬高新、韶能股份、明星电力、宝新金融（原“中国金洋”）、南玻A、合肥百货七家上市公司中持有超过5%股权，更是取得了南玻A、中炬高新、韶能股份的控制权。
受“宝万之争”等事件影响，姚振华在2017年受到保监会处罚，前海人寿万能险业务关停，其本人被禁10年不得进入保险行业。
如今，以南宁百货的股权争夺为起点，沉寂三年之久的姚振华又开始回归资本战场。",full,2020-01-06,界面新闻,2020-01-06 16:06:28,沉寂三年后：姚振华重回A股“扫货” 押宝造车,沉寂三年后 姚振华重回A股“扫货”,https://money.163.com/20/0106/16/F27IKIJE00258105.html
6,3,FASRFHMO00258105,000002,"万科
企业股资产管理中心将为数2亿股、价值53亿的万科股票捐给清华大学，如今陷入了巨大的尴尬。
有人提出问题：万科企业股中心如果代表了全体万科员工的权益，巨额捐赠等于放弃巨额权益，为何没有开全体员工代表大会确认捐赠？——要么，万科企业股中心就根本没代表全体万科员工的权益？
无论哪一个答案，这场捐赠等于扯掉了万科企业股中心“代表万科全体员工权益”的遮羞布。
前员工举报，准备公益诉讼
4月2日，万科企业股资产管理中心与清华大学签署捐赠协议，号称代表万科人全体，将企业股中心的全部资产2亿股万科股票一次性捐赠给清华大学教育基金会，用于设立“清华大学万科公共卫生与健康学科发展专项基金”。万科与清华大学一道，共建公共卫生与健康学院。
根据4月1日的万科股票收盘价，此次捐赠股权当前市值约53亿元人民币，是目前国内对高校基金会的最大金额的单笔捐赠。
万科方面表示，2亿股股票的捐赠，并非企业捐款，捐出的并非万科上市公司资产，而是源于1988年万科股份制改革时留下的企业股，相当于员工集体股，是万科全体员工共同持有的资产。
4月20日，广东省房地产研究会执行会长韩世同实名发布《致中国证监会的实名举报信》，举报
王石
和万科企业股资产管理中心涉嫌侵犯万科全体员工权益，希望证监会专案小组测查此事，以维护万科全体员工权益。
韩世同表示，目前万科方便并未和他就举报事件进行沟通。希望万科召开全体员工代表大会，重新审议捐赠事宜。他同时透露，如果证监会不调查此事，下一步将走法律途径，采取公益诉讼的方式。
韩世同曾经在1994-1995年在万科广州公司任职，任当时还属于商贸口的广州司办公室主任和商代处首席代表。
万科员工被代表了？
1988年，万科前身“深圳市现代企业有限公司”进行股份制改造，改造完成后的“万科企业股份有限公司”，60%为国家股，40%为企业股，这就是万科企业股资产最初来源。
2011年，万科企业股中心成立，是一家独立于
万科集团
运作的社会企业，核心资产就是万科的企业股。企业股中心成立的初衷是让企业股资产保值增值，实现“造血功能”，第二是让企业股资产最终用于公益。
但在韩世同看来，2011年虽然万科员工代表大会决定将企业股用于公益事业，而且授权成立万科企业股资管中心来管理，但并没有授权王石和企业股中心可以将2亿万科股票的资产捐给清华。因此，王石和企业股中心无权决定将其全部捐给清华。
“这样做显然是不合程序的，如此重大的决策肯定是需要经过万科公司员工代表大会审议通过才能办理。而现在没有经过万科公司员工代表大会的审批，就匆忙将属于全体员工的集体股全部捐赠给清华，似乎有违规的嫌疑”，韩世同在举报信中指出。
“现在是等于全体员工（的权益）被捐赠了，没有咨询大家意见的过程”，韩世同表示。
英恒律师事务所合伙人魏强指出，“万科这个事本质上在于王石和
郁亮
公司（高管作为代持股权管理人）是否侵害了其他员工的权利。”
魏强认为，此举报合理，应该查明，这不仅涉及的是万科的问题，更加涉及到的是整个公司治理体系以及高管的忠诚义务的责任。魏强同时表示，“此事的核心在于捐献的这些股权到底是谁的，是全体员工的还是王石或者郁亮个人的。还是其他股东的。”
韩世同在举报信中也就股票归属问题提出质疑，“到底万科的企业股是应该属于企业，还是88年上市前的员工，还是历年来万科所有的员工？”，这也是需要界定清楚的问题。
为何是2亿股
韩世同在举报信还针对企业股的数额变动、以及万科企业股资管中心的公益性提出质疑。
韩世同认为，1988年万科上市招股书中透露，企业股占总股本的比例为12.85%。目前万科总股本为113.02亿股，2亿股占比仅为1.77%，为何占比从12.85%下降为1.77%，这是需要弄清楚的问题。
而对于如今的2亿股，韩世同指出，有人质疑万科企业股如果就是当时的529.87万，如果持有至今应该至少10多亿股，因为几年前万科大股东转让其股份给深圳地铁时已经达到16.8亿股占60%，那占40%的万科企业股（职工股）应该有11.2亿股，为何只有2亿股。这的确有些难以自圆其说，看来当初的企业股显然并没有全部都转为职工股。
韩世同表示，2011年万科企业股中心成立的时候，并没有说股票的数量，”这次捐给（清华）的时候才说是2亿股，这中间是怎么演变的，530万演变过来不应该是2亿”。
公益基金像投资公司？
关于万科企业股资产管理中心的性质，韩世同认为不像公益基金管理公司，而更像一家投资公司。
韩世通在举报信中表示，“万科企业股资管中心在公益事业和员工救助方面有哪些作为呢？这也是需要质疑和查清楚其是否有履行这些主要职责。”
2014年，万科企业股资产管理中心控股股东由“万科企业股份有限公司”变更为“上海万丰资产管理有限公司”，万科企业股中心开始独立于上市公司来运作。
按照万科企业股中心持有2亿股股票数量，应位列十大股东名单之中。据知情人士指出，代表前者体现在持股名录里的是德赢1号专项资产管理计划。万科2019年财报显示，截至2019年12月31日，德赢1号专项资产管理计划持股3.29亿股，持股比例为2.91%。
即便是做公益，韩世同认为不应将2亿股全部捐赠。他表示，2亿股股票做公益是偷换概念，“做公益不等于把整个股东都送走，连自己（企业股中心）都送没了，这个合适吗？其他的公益没有伤害到基金本金的。”
自4月5日起，韩世同已经发布多篇文章和公开信对万科这笔捐赠提出质疑。他表示此举的最终目的是希望向万科施压，并召开万科员工代表大会，“只要召开这个会，这个（捐赠的）事就不能达成原来的意愿，之后怎么用我不管了”，韩世同说。
威诺律师事务所律师杨兆全对网易财经表示，如果万科公司或者王石侵犯了员工个人或者员工群体的利益，受害人应该通过法律途径进行解决。从证券法来看，证监会作为行政监管机关，不应该直接干预民事主体之间的权益纠纷。除非该纠纷直接影响到了证券市场的秩序。
韩世同表示，如果证监会不调查，下一步将采取法律途径。",full,2020-04-23,网易号外,2020-04-23 08:30:39,号外|53亿捐赠背光处：万科员工权益在哪,号外|53亿捐赠游戏扯掉了万科的遮羞布,https://money.163.com/20/0423/08/FASRFHMO00258105.html
7,20,F0RQ2RS300259DLP,000002,"
                        （原标题：万科A：宝能减持至5%以下，股权之争落幕在即）
                    
window.__STOCK_COMPONENT__.push({code: '000002', type: 'SZ', tag: 'time'});


华创证券发布
万科
A的研报指出，
宝能
减持至5%以下，股权之争落幕在即，重申“强推”评级。万科作为行业三十载领跑者，在提前倡导高周转、探索住宅工业化、专注中小户型精装修产品、领先建立三级管控架构、布局三大城市群、实施多项人才计划、深化小股操盘模式以及创新业务发展等方面都是当之无愧的先行者，其成果也已体现在公司过去10年的销售和业绩双双高增中，也体现在行业领先的稳健经营和财务指标中。而面向未来，在本轮房地产小周期延长的反常周期中，万科在住宅开发行业料将继续保持龙头优势，同时公司在物业服务、商业地产、物流地产、长租公寓、养老地产和轨道物业等细分领域也已领跑行业，未来业绩和估值的贡献值得期待。维持公司2019-21年每股收益预测分别为3.66、4.41、5.30元，重申“强推”评级。
相关阅读
宝能在万科上赚了多少? 在292亿元至350亿元之间
一场3000亿争夺战硝烟尽散！宝能系两年减持500亿
按照12月19日晚间万科A的公告，2019年11月27日至2019年12月19日，姚振华旗下钜盛华和前海人寿，通过深圳证券交易所证券交易系统集中竞价交易方式合计减持万科
A股
股票5.65亿股，占万科总股本的5.00%。
截至2019年12月19日，钜盛华和前海人寿合计持有万科A股股份5.65亿股，占万科总股本的4.9999998%。两年前，宝能通过前海人寿、钜盛华以及9个资管计划，对万科的持股比例最高曾达到25.4%。
如果从2018年首轮减持计算，迄今宝能系总计减持约22.39亿股，如果按照五轮减持时间段最低交易价计算，宝能系五轮减持最低套现约506亿元，此次11月27日至12月19日共计套现154亿元。
姚振华杀入南宁百货的背后：“宝万之争”将落幕
  
一手点燃南宁百货股权争夺战，一手持续减持万科A，姚振华“宝能系”动作不断。
在持续减持万科股票两年后，“宝万之争”即将迎来大结局。
姚振华突击入驻南宁百货引发八连板 上市公司慌了?
  
在南宁百货爆拉8个涨停板后，公司发布澄清公告，后续走势再次成谜。
姚振华在A股市场再掀浪潮！截至12月13日收盘，南宁百货连续8个涨停板，刷新年内高点。
在巨量资金的参与下，南宁百货周五换手率陡增至33.98%，成交额15.6亿元，创下历史新高。",full,2019-12-20,证券时报网,2019-12-20 16:10:02,万科A：宝能减持至5%以下 股权之争落幕在即,万科A：宝能减持至5%以下 股权之争落幕在即,https://money.163.com/19/1220/16/F0RQ2RS300259DLP.html
8,24,F0QUS8NA00259F3V,000002,"
                        （原标题：姚振华杀入南宁百货的背后：持续减持万科A，最新持股比例低于5%，“宝万之争”将落幕）
                    
一手点燃南宁百货股权争夺战，一手持续减持
万科
A，姚振华“
宝能
系”动作不断。
在持续减持万科股票两年后，“宝万之争”即将迎来大结局。
12月19日晚间，万科A披露，宝能系旗下钜盛华和前海人寿合计持有万科
A股
的股份比例降至4.9999998%。
从去年开始，宝能系便密集减持万科股票，从巅峰时的
持股
超过25%，降至如今的不足5%。
根据A股上市公司相关管理办法，持股比例低于5%后，宝能系的后续减持动作将无需再行披露。
持续减持万科股票
宝能系持股比例降至5%以下
“宝万之争”成为A股历史上最惨烈的股权纷争之一。
2015年夏天，宝能首次“举牌”万科A。宝能集团通过钜盛华、前海人寿等主体，以集中交易、收益互换等方式大笔买入万科股份，持股比例首次达到5%。
此后不到半年时间里，宝能系大举吸筹。2015年12月4日，万科公告，钜盛华及其一致行动人前海人寿合计持有公司A股股票22.11亿股，成为万科第一大股东，持股比例超过20%。此后，宝能系又一路增持万科A至巅峰时的25.4%。
宝能系的意外闯入，引来了万科董事会的坚决抵抗，“宝万之争”由此爆发。期间，华润、恒大、深圳地铁先后卷入团战。
2017年7月6日，华润集团、中国恒大转让给深圳市地铁集团有限公司的万科A股份完成过户。深圳市地铁集团有限公司持股比例达到29.38%，超过宝能集团，成为万科A第一大股东。
争夺控制权失利后，2018年4月17日起，宝能系开始减持万科A，逐步套现所持股份。2018年4月17日至2018年7月17日三个月时间，钜盛华、前海人寿合计减持比例为5%。
2018年7月24日，钜盛华作为委托人的资产管理计划通过大宗交易方式减持万科A4410.92万股股份，占总股本的0.4%。减持完成后，钜盛华及一致行动人持有万科A20%股份。
此后，万科又分别于2018年9月11日，2019年11月22日和2019年12月20日发布与宝能集团相关的《简式权益变动报告书》，每次减持比例均为5%。
其中，2018年7月27日至2018年9月11日，钜盛华作为委托人的资产管理计划通过大宗交易方式、前海人寿通过集中竞价方式，减持5%股份。
2018年9月19日至2019年11月22日，因钜盛华、前海人寿减持，以及万科总股本变动导致两者所持比例被动稀释等原因，两者累计持有万科A的股份比例变动5%。
宝能系新版图渐清晰
姚振华剑指三大领域
在外界看来，“宝万之争”中，宝能系虽然在控股权争夺中失利，但从财务投资角度讲，宝能系的这笔投资收益相当划算。
由于宝能分批次增减持的时间跨度较长，目前很难精确计算宝能系究竟在交易万科股票中获利多少。
万科A近4年来的月K线 来源：Choice金融终端
不过，从2015年年底至今的万科股价表现看，万科近四年来股价稳步上涨，区间累计涨幅超过105%，目前股价停留在30元左右。据摩根大通研究报告指出，宝能系在“宝万之争”中共斥资约451亿元，持仓成本大致在16.08元。
两年来，宝能持续减持万科股票，大手笔回笼资金，这些资金究竟流向哪里了呢？中证君特意梳理了下宝能系如今的战略版图。
作为横跨金融、地产等多个领域的综合集团，宝能系持股上市公司众多。除了近期备受关注的中炬高新和南宁百货外，据中证君不完全统计，宝能系在A股被披露持股的上市公司还包括了万科A、南玻A、格力电器、大康农业、明星电力、重庆百货、合肥百货、北辰实业、韶能股份、华侨城、金科股份、东阿阿胶、郑州银行、森源电气、普利制药、华海制药、华
海药
业等18家上市公司。
在宝能集团的官方网站，宝能将自己的业务范围划分为制造、科技和民生三大领域。
从宝能系近期的资本动向来看，地产和造车或许是近年来宝能系资金投入的“大头”。
在地产领域，公开报道显示，今年以来宝能系旗下的宝能地产相继在山东章丘、云南腾冲、天津静海等城市拿地，所斥资金超过130亿元。
在造车领域，2017年底，宝能系通过并购方式入股观致汽车。此后宝能系又多次加码，截至今年年初，宝能系的持股比已经升至63%。而据媒体公开报道，宝能系获得上述股权的总花费超过80亿元。
2018年3月2日，在观致汽车的经销商大会上，姚振华承诺，从2018年开始，宝能集团每年将投入100亿元用于观致汽车新车研发，连续投入5年。
据媒体报道，宝能汽车已先后在杭州、昆明、广州、陕西西咸新区等地选址建厂，投资总额高达1240亿元。",full,2019-12-20,中国证券报,2019-12-20 08:14:34,"姚振华杀入南宁百货的背后:""宝万之争""落幕",姚振华杀入南宁百货的背后 “宝万之争”将落幕,https://money.163.com/19/1220/08/F0QUS8NA00259F3V.html
9,23,F7V2OA35002580S6,000002,"
                        （原标题：万科：疫情对现金流影响大 目前复工率已达八成）
                    
证券时报e公司讯，
万科
披露年报后在线上召开业绩推介会，总裁祝九胜表示，疫情对公司影响相当大，体现在销售、交付、现金流、开复工方方面面，最终体现在现金流，由于销售的减少，导致销售回款的减少，给未来1-3年产生结算压力。目前有改善迹象，客户来访量逐渐增加，公司复工率已经达到八成，工地上的工友
返岗
人数已经达到了72%。需求也不会简单地消失，疫情以后会逐步释放，释放的节奏、速度还有待观察，这是一个客观的过程。",full,2020-03-17,证券时报网,2020-03-17 22:17:01,万科：疫情对现金流影响大 目前复工率已达八成,万科：疫情对现金流影响大 目前复工率已达八成,https://money.163.com/20/0317/22/F7V2OA35002580S6.html
