,No,UID,code,crawl state,date,title,url
0,0,FJN7U4PM0519FM90,000002,empty,2020-08-10,碧桂园、金辉、雅居乐，在重庆“翻车”？,http://dy.163.com/article/FJN7U4PM0519FM90.html
1,1,F96VI5SQ00259DLP,000002,half,2020-04-02,价值53亿！王石率万科员工集体捐赠2亿股万科股票,https://money.163.com/20/0402/10/F96VI5SQ00259DLP.html
2,2,F96NA9Q500259DLP,000002,half,2020-04-02,中签1单最大获利超13万 科创板一季度榜单全面揭晓,https://money.163.com/20/0402/07/F96NA9Q500259DLP.html
3,6,F8V89M2300259DLP,000002,half,2020-03-30,楼市“魔幻重启”！ 一大波抢房潮正在上演,https://money.163.com/20/0330/10/F8V89M2300259DLP.html
4,8,F8LA2T7600259DLP,000002,half,2020-03-26,年报低估值高股息高增长龙头股名单来了 仅11只！,https://money.163.com/20/0326/13/F8LA2T7600259DLP.html
5,16,FI7VMO7P00259DLP,000002,half,2020-07-23,扎心！ 这两年你买的房 可能是一个五星级的坑,https://money.163.com/20/0723/16/FI7VMO7P00259DLP.html
6,19,FHSQ8CLN00259DLP,000002,half,2020-07-18,315道歉声刚落 万科精装房又现玻璃门炸裂伤人事件,https://money.163.com/20/0719/07/FHSQ8CLN00259DLP.html
7,12,F87MTQ8S0519APGA,000002,empty,2020-03-21,王石没猜对 万科增速放缓“已成特别真实的存在”,http://dy.163.com/v2/article/detail/F87MTQ8S0519APGA.html
8,13,F82TSFKF0530I1ON,000002,empty,2020-03-19,业绩未达预期王石被“打脸” 万科还“稳得住”吗？,http://dy.163.com/v2/article/detail/F82TSFKF0530I1ON.html
9,22,FHNQA6LS00259DLP,000002,half,2020-07-17,央视315大杀器！趣头条股价大跳水 万科深夜回应,https://money.163.com/20/0717/09/FHNQA6LS00259DLP.html
10,17,F80E86UC0530KP1K,000002,empty,2020-03-18,3679亿营收下的真实万科：稳健犹在，惊喜不足,http://dy.163.com/v2/article/detail/F80E86UC0530KP1K.html
11,2,FHMFNDTS00259DLP,000002,half,2020-07-16,万科疑遭2000住户集体退房！业主：南昌的楼都在泡水,https://money.163.com/20/0716/20/FHMFNDTS00259DLP.html
12,4,FHGFUCOT00259DLP,000002,half,2020-07-14,鸿海万科柱体开裂属实：地下水浮力增大导致,https://money.163.com/20/0714/13/FHGFUCOT00259DLP.html
13,5,FH8CPJJD0539KRSX,000002,half,2020-07-11,主力资金流出大于2亿以上34只股名单！下周一或大跌,http://dy.163.com/v2/article/detail/FH8CPJJD0539KRSX.html
14,6,FH89J13N0518J3SG,000002,empty,2020-07-11,华润，这家中国“巨无霸”企业是如何炼成的？,http://dy.163.com/v2/article/detail/FH89J13N0518J3SG.html
15,0,FEBHC9MD0519E14O,000002,empty,2020-06-05,万科史上最大一笔“糊涂”账，王石说和人类命运相关,http://dy.163.com/v2/article/detail/FEBHC9MD0519E14O.html
16,1,FEBES6AM00259DLP,000002,half,2020-06-04,杭州万人摇号买房:刚需十几次未中 投资客套现离场,https://money.163.com/20/0605/07/FEBES6AM00259DLP.html
17,0,FB273KEJ00259DLP,000002,half,2020-04-25,前员工质疑万科企业股捐赠违规？专业律师解读来了,https://money.163.com/20/0425/10/FB273KEJ00259DLP.html
18,1,FB0H3OUP00259DLP,000002,half,2020-04-24,万科捐赠调查:9年收益去向不明 管理层规避举牌,https://money.163.com/20/0424/18/FB0H3OUP00259DLP.html
